sepal length,sepal width,petal length,petal width,class
var3,var1,var3,var3,Iris-versicolor
var3,var2,var3,var2,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var2,var2,var2,Iris-versicolor
var2,var1,var2,var2,Iris-versicolor
var2,var1,var2,var2,Iris-versicolor
var2,var2,var2,var2,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var3,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var1,var3,var3,Iris-versicolor
var2,var2,var3,var2,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var2,var2,var3,var2,Iris-versicolor
var1,var1,var2,var2,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var2,var2,var3,var2,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var1,var1,var2,var2,Iris-versicolor
var2,var2,var3,var3,Iris-versicolor
var3,var3,var4,var4,Iris-virginica
var2,var2,var3,var4,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var3,var2,var4,var3,Iris-virginica
var3,var2,var4,var4,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var1,var1,var3,var3,Iris-virginica
var4,var2,var4,var3,Iris-virginica
var3,var1,var4,var3,Iris-virginica
var4,var3,var4,var4,Iris-virginica
var3,var3,var3,var4,Iris-virginica
var3,var2,var3,var4,Iris-virginica
var3,var2,var4,var4,Iris-virginica
var2,var1,var3,var4,Iris-virginica
var2,var2,var3,var4,Iris-virginica
var3,var3,var3,var4,Iris-virginica
var3,var2,var4,var3,Iris-virginica
var4,var4,var4,var4,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var2,var1,var3,var3,Iris-virginica
var3,var3,var4,var4,Iris-virginica
var2,var2,var3,var4,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var3,var2,var3,var3,Iris-virginica
var3,var3,var4,var4,Iris-virginica
var4,var3,var4,var3,Iris-virginica
var3,var2,var3,var3,Iris-virginica
var3,var2,var3,var3,Iris-virginica
var3,var2,var4,var4,Iris-virginica
var4,var2,var4,var3,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var4,var4,var4,var4,Iris-virginica
var3,var2,var4,var4,Iris-virginica
var3,var2,var3,var3,Iris-virginica
var3,var2,var4,var3,Iris-virginica
var4,var2,var4,var4,Iris-virginica
var3,var3,var4,var4,Iris-virginica
var3,var2,var4,var3,Iris-virginica
var2,var2,var3,var3,Iris-virginica
var3,var2,var3,var4,Iris-virginica
var3,var2,var4,var4,Iris-virginica
var3,var2,var3,var4,Iris-virginica
var2,var2,var3,var4,Iris-virginica
var3,var3,var4,var4,Iris-virginica
var3,var3,var4,var4,Iris-virginica
var3,var2,var3,var4,Iris-virginica
var3,var1,var3,var4,Iris-virginica
var3,var2,var3,var4,Iris-virginica
var3,var3,var3,var4,Iris-virginica
var2,var2,var3,var3,Iris-virginica
